id;AfterPenaltyAway;AfterPenaltyHome;Away;Day;DivisionAway;DivisionHome;DivisionPlaceAway;DivisionPlaceDifference;DivisionPlaceHome;FavouriteStatusAway;FavouriteStatusHome;FocusedEvent;GameID;GameNumber;GoalsAway;GoalsHome;Home;Played;PrestigeCupAway;PrestigeCupHome;PrestigePointsBasic;PrestigePointsDivisionBasic;PrestigePointsFocusedEvent;PrestigePointsRivalryAway;PrestigePointsRivalryHome;PrestigePointsTotalAway;PrestigePointsTotalHome;TournamnetRound;RoutinePoints;SignAway;SignHome;TeamMotivationAway;TeamMotivationFavouriteStatusAway;TeamMotivationFavouriteStatusHome;TeamMotivationHome;TeamMotivationPreviousRoundAway;TeamMotivationPreviousRoundHome;TeamMotivationSituationAway;TeamMotivationSituationHome;TeamRankAway;TeamRankDifference;TeamRankDivisionAway;TeamRankDivisionDifference;TeamRankDivisionHome;TeamRankHome;TeamRivalryAway;TeamRivalryHome;TeamRivalryTotal;TeamTacticsAway;TeamTacticsGameValueAway;TeamTacticsGameValueHome;TeamTacticsHome;TeamTacticsValueAway;TeamTacticsValueHome;Tournament;TypeOfGame;Week;Winner;QualificationAway;QualificationHome;SchedulingIdentifyerAway;SchedulingIdentifyerHome
1;0;0;BI;1;;;3;5;8;Favorite;Underdog;;1;1;8;2;MÖS;1;;;0.0;-0.05;;0.0;0.0;-0.05;-0.05;1;0;W;L;1.14;0.92;0.99;1.168125;1.04;0.9425;0.19;0.19;34;26;1;9;10;60;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;6;Group;1;BI;;;ScheduleDraw;ScheduleDraw
2;0;0;GE;1;;;5;1;6;Normal;Normal;;2;2;8;4;GC;1;;;0.0;-0.05;;0.0;0.0;-0.05;-0.05;1;0;W;L;1.193125;1.0;0.99;1.189375;1.0125;1.0275;0.19;0.19;50;5;5;2;7;55;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;6;Group;1;GE;;;ScheduleDraw;ScheduleDraw
3;0;0;CN;1;;;2;7;9;Normal;Normal;;3;3;4;1;BM;1;;;0.0;-0.05;;0.0;0.0;-0.05;-0.05;1;0;W;L;1.20625;1.03;0.95;1.1525;0.975;1.0;0.19;0.19;52;6;6;2;8;58;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;6;Group;1;CN;;;ScheduleDraw;ScheduleDraw
4;0;0;KU;1;;;7;-3;4;Normal;Normal;;4;4;0;5;SOS;1;;;0.0;-0.05;;0.0;0.0;-0.05;-0.05;1;0;L;W;1.17125;0.97;1.04;1.226875;1.015;1.0275;0.19;0.19;46;1;3;1;4;47;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;6;Group;1;SOS;;;ScheduleDraw;ScheduleDraw
5;0;0;ARK;1;;;1;9;10;Favorite;Underdog;;5;5;7;0;ÖR;1;;;0.0;-0.05;;0.0;0.0;-0.05;-0.05;1;0;W;L;1.065625;0.98;1.04;1.23375;0.9625;1.055;0.09;0.19;36;23;2;7;9;59;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;6;Group;1;ARK;;;ScheduleDraw;ScheduleDraw
6;0;0;NS;1;;;3;5;8;Underdog;Favorite;;6;1;3;3;TD;1;;;0.0;-0.03;;0.0;0.0;-0.03;-0.03;1;0;D;D;1.244375;1.0;1.03;1.35875;0.8175;1.185;0.29;0.29;51;-24;7;-6;1;27;0.0;0.0;0.0;Balanced;0.5;0.0166666666666667;Drop back;0.5;0.0166666666666667;5;Group;1;Draw;;;ScheduleDraw;ScheduleDraw
7;0;0;SVF;1;;;1;9;10;Normal;Normal;;7;2;1;5;KN;1;;;0.0;-0.03;;0.0;0.0;-0.03;-0.03;1;0;L;W;1.15375;0.99;1.02;1.32625;0.885;1.085;0.19;0.29;56;-3;10;-2;8;53;0.0;0.0;0.0;Balanced;0.5;0.491071428571428;Balanced;0.5;0.491071428571428;5;Group;1;KN;;;ScheduleDraw;ScheduleDraw
8;0;0;ELD;1;;;2;7;9;Underdog;Favorite;;8;3;1;5;SFI;1;;;0.0;-0.03;;0.0;0.0;-0.03;-0.03;1;0;L;W;1.290625;1.03;1.0;1.33;0.9125;1.16;0.29;0.29;54;-10;9;-5;4;44;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;5;Group;1;SFI;;;ScheduleDraw;ScheduleDraw
9;0;0;HH;1;;;6;-1;5;Normal;Normal;;9;4;1;5;HS;1;;;0.0;-0.03;;0.0;0.0;-0.03;-0.03;1;0;L;W;1.2775;0.99;0.97;1.26875;0.98;1.005;0.29;0.29;41;-4;3;-1;2;37;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;5;Group;1;HS;;;ScheduleDraw;ScheduleDraw
10;0;0;AF;1;;;7;-3;4;Normal;Normal;;10;5;6;6;COB;1;;;0.0;-0.03;;0.0;0.0;-0.03;-0.03;1;0;D;D;1.2625;0.96;1.01;1.29125;1.01;0.975;0.29;0.29;49;-4;6;-1;5;45;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;5;Group;1;Draw;;;ScheduleDraw;ScheduleDraw
