id;AbilityRank;AbilityRankDivision;AverageAbility;Division;DivisionID;Name;SeedingGroup;Tactics;TacticsValue;TotalAbility;Logo;SeedingNumber;NoOfPlayers
1;1;1;4.9563786997037164e-36;Div 1;Div 1-1;KÄ;A;Neutral;0.410958904109589;2.97382721982223e-35;KÄ.png;1;6
2;2;2;4.862171968797572e-34;Div 1;Div 1-2;DBL;A;Defensiv;0.1;2.917303181278543e-33;DBL.png;2;6
3;7;5;4.469053958650409e-36;Div 1;Div 1-3;SF;A;Neutral;0.5;2.681432375190245e-35;SF.png;3;6
4;13;7;4.1591617613053835e-32;Div 1;Div 1-4;ZB;A;Neutral;0.595238095238095;2.49549705678323e-31;ZB.png;4;6
5;19;9;4.0125857643010375e-34;Div 1;Div 1-5;PBV;B;Neutral;0.413793103448276;2.4075514585806223e-33;PBV.png;1;6
6;6;4;4.4895138126813985e-42;Div 1;Div 1-6;SL;B;Neutral;0.531645569620253;2.693708287608839e-41;SL.png;2;6
7;23;10;3.855678704654116e-32;Div 1;Div 1-7;FF;B;Defensiv;0.225806451612903;2.31340722279247e-31;FF.png;3;6
8;15;8;4.105546739218727e-34;Div 1;Div 1-8;SSM;B;Neutral;0.369565217391304;2.463328043531236e-33;SSM.png;4;6
9;4;3;4.517665289549259e-38;Div 1;Div 1-9;SFA;B;Neutral;0.591836734693878;2.7105991737295553e-37;SFA.png;5;6
10;9;6;4.313581386128483e-34;Div 1;Div 1-10;PF;B;Neutral;0.571428571428571;2.5881488316770897e-33;PF.png;6;6
11;3;1;4.550659235304575e-40;Div 2;Div 2-1;ÖD;B;Neutral;0.551282051282051;2.7303955411827446e-39;ÖD.png;7;6
12;32;10;3.415312547766959e-32;Div 2;Div 2-2;HÖ;C;Neutral;0.436781609195402;2.0491875286601752e-31;HÖ.png;1;6
13;17;8;4.0841329360539696e-40;Div 2;Div 2-3;PA;C;Neutral;0.583333333333333;2.4504797616323816e-39;PA.png;2;6
14;5;2;4.497651783896683e-36;Div 2;Div 2-4;TG;C;Neutral;0.321428571428571;2.69859107033801e-35;TG.png;3;6
15;8;3;4.339600101443277e-34;Div 2;Div 2-5;SFÅ;C;Defensiv;0.196428571428571;2.603760060865966e-33;SFÅ.png;4;6
