id;AbilityRank;AbilityRankDivision;AverageAbility;Division;DivisionID;Name;NoOfPlayers;SeedingGroup;SeedingNumber;Tactics;TacticsValue;TotalAbility;Logo
1;1;1;4.95637869970372;Div 1;Div 1-1;KÄ;6;A;1;Neutral;0.410958904109589;29.7382721982223;KÄ.png
2;2;2;4.86217196879757;Div 1;Div 1-2;DBL;6;A;2;Defensiv;0.1;29.1730318127854;DBL.png
3;7;5;4.46905395865041;Div 1;Div 1-3;SF;6;A;3;Neutral;0.5;26.8143237519024;SF.png
4;13;7;4.15916176130538;Div 1;Div 1-4;ZB;6;A;4;Neutral;0.595238095238095;24.9549705678323;ZB.png
5;19;9;4.01258576430104;Div 1;Div 1-5;PBV;6;B;1;Neutral;0.413793103448276;24.0755145858062;PBV.png
6;6;4;4.4895138126814;Div 1;Div 1-6;SL;6;B;2;Neutral;0.531645569620253;26.9370828760884;SL.png
7;23;10;3.85567870465412;Div 1;Div 1-7;FF;6;B;3;Defensiv;0.225806451612903;23.1340722279247;FF.png
8;15;8;4.10554673921873;Div 1;Div 1-8;SSM;6;B;4;Neutral;0.369565217391304;24.6332804353124;SSM.png
9;4;3;4.51766528954926;Div 1;Div 1-9;SFA;6;B;5;Neutral;0.591836734693878;27.1059917372956;SFA.png
10;9;6;4.31358138612848;Div 1;Div 1-10;PF;6;B;6;Neutral;0.571428571428571;25.8814883167709;PF.png
11;3;1;4.55065923530458;Div 2;Div 2-1;ÖD;6;B;7;Neutral;0.551282051282051;27.3039554118275;ÖD.png
12;32;10;3.41531254776696;Div 2;Div 2-2;HÖ;6;C;1;Neutral;0.436781609195402;20.4918752866017;HÖ.png
13;17;8;4.08413293605397;Div 2;Div 2-3;PA;6;C;2;Neutral;0.583333333333333;24.5047976163238;PA.png
14;5;2;4.49765178389668;Div 2;Div 2-4;TG;6;C;3;Neutral;0.321428571428571;26.9859107033801;TG.png
15;8;3;4.33960010144328;Div 2;Div 2-5;SFÅ;6;C;4;Defensiv;0.196428571428571;26.0376006086597;SFÅ.png
16;14;6;4.14902092251574;Div 2;Div 2-6;TWL;6;C;5;Defensiv;0.235294117647059;24.8941255350944;TWL.png
17;10;4;4.28137453758913;Div 2;Div 2-7;VIK;6;C;6;Defensiv;0.25;25.6882472255348;VIK.png
18;24;9;3.8438689493143;Div 2;Div 2-8;LION;6;C;7;Neutral;0.5;23.0632136958858;LION.png
19;16;7;4.09919501486536;Div 2;Div 2-9;SSL;7;D;1;Offensiv;0.764705882352941;28.6943651040575;SSL.png
20;12;5;4.17416549525814;Div 2;Div 2-10;LEO;6;D;2;Neutral;0.678571428571429;25.0449929715488;LEO.png
21;38;9;3.15795402907906;Div 3;Div 3-1;TBT;6;D;3;Neutral;0.439024390243902;18.9477241744744;TBT.png
22;33;8;3.2930241839681;Div 3;Div 3-2;ISF;6;D;4;Neutral;0.51685393258427;19.7581451038086;ISF.png
23;26;6;3.64853912218405;Div 3;Div 3-3;MS;6;D;5;Neutral;0.533333333333333;21.8912347331043;MS.png
