id;Division;DivisionID;Drawn;GoalDifference;GoalsConceded;GoalsScored;Lost;Name;Place;PlayedGames;Points;Won
1;Div 1;Div 1-1;0;0;0;0;0;KÄ;1;0;0;0
2;Div 1;Div 1-2;0;0;0;0;0;DBL;2;0;0;0
3;Div 1;Div 1-3;0;0;0;0;0;SF;3;0;0;0
4;Div 1;Div 1-4;0;0;0;0;0;ZB;4;0;0;0
5;Div 1;Div 1-5;0;0;0;0;0;PBV;5;0;0;0
6;Div 1;Div 1-6;0;0;0;0;0;SL;6;0;0;0
7;Div 1;Div 1-7;0;0;0;0;0;FF;7;0;0;0
8;Div 1;Div 1-8;0;0;0;0;0;SSM;8;0;0;0
9;Div 1;Div 1-9;0;0;0;0;0;SFA;9;0;0;0
10;Div 1;Div 1-10;0;0;0;0;0;PF;10;0;0;0
11;Div 2;Div 2-1;0;0;0;0;0;ÖD;1;0;0;0
12;Div 2;Div 2-2;0;0;0;0;0;HÖ;2;0;0;0
13;Div 2;Div 2-3;0;0;0;0;0;PA;3;0;0;0
14;Div 2;Div 2-4;0;0;0;0;0;TG;4;0;0;0
15;Div 2;Div 2-5;0;0;0;0;0;SFÅ;5;0;0;0
16;Div 2;Div 2-6;0;0;0;0;0;TWL;6;0;0;0
17;Div 2;Div 2-7;0;0;0;0;0;VIK;7;0;0;0
18;Div 2;Div 2-8;0;0;0;0;0;LION;8;0;0;0
19;Div 2;Div 2-9;0;0;0;0;0;SSL;9;0;0;0
20;Div 2;Div 2-10;0;0;0;0;0;LEO;10;0;0;0
21;Div 3;Div 3-1;0;0;0;0;0;TBT;1;0;0;0
22;Div 3;Div 3-2;0;0;0;0;0;ISF;2;0;0;0
23;Div 3;Div 3-3;0;0;0;0;0;MS;3;0;0;0
24;Div 3;Div 3-4;0;0;0;0;0;KS;4;0;0;0
25;Div 3;Div 3-5;0;0;0;0;0;SST;5;0;0;0
26;Div 3;Div 3-6;0;0;0;0;0;TA;6;0;0;0
27;Div 3;Div 3-7;0;0;0;0;0;BK;7;0;0;0
28;Div 3;Div 3-8;0;0;0;0;0;EAG;8;0;0;0
29;Div 3;Div 3-9;0;0;0;0;0;TH;9;0;0;0
30;Div 3;Div 3-10;0;0;0;0;0;DO;10;0;0;0
31;Div 4;Div 4-1;0;0;0;0;0;TW;1;0;0;0
32;Div 4;Div 4-2;0;0;0;0;0;TL;2;0;0;0
33;Div 4;Div 4-3;0;0;0;0;0;SS;3;0;0;0
34;Div 4;Div 4-4;0;0;0;0;0;CHA;4;0;0;0
35;Div 4;Div 4-5;0;0;0;0;0;VP;5;0;0;0
36;Div 4;Div 4-6;0;0;0;0;0;LOD;6;0;0;0
37;Div 4;Div 4-7;0;0;0;0;0;SOL;7;0;0;0
38;Div 4;Div 4-8;0;0;0;0;0;S;8;0;0;0
39;Div 4;Div 4-9;0;0;0;0;0;CJ;9;0;0;0
40;Div 4;Div 4-10;0;0;0;0;0;SV;10;0;0;0
41;Div 5;Div 5-1;0;0;0;0;0;TD;1;0;0;0
42;Div 5;Div 5-2;0;0;0;0;0;KN;2;0;0;0
43;Div 5;Div 5-3;0;0;0;0;0;SFI;3;0;0;0
44;Div 5;Div 5-4;0;0;0;0;0;HS;4;0;0;0
45;Div 5;Div 5-5;0;0;0;0;0;SVF;5;0;0;0
46;Div 5;Div 5-6;0;0;0;0;0;ELD;6;0;0;0
47;Div 5;Div 5-7;0;0;0;0;0;COB;7;0;0;0
48;Div 5;Div 5-8;0;0;0;0;0;NS;8;0;0;0
49;Div 5;Div 5-9;0;0;0;0;0;AF;9;0;0;0
50;Div 5;Div 5-10;0;0;0;0;0;HH;10;0;0;0
51;Div 6;Div 6-1;0;0;0;0;0;MÖS;1;0;0;0
52;Div 6;Div 6-2;0;0;0;0;0;GC;2;0;0;0
53;Div 6;Div 6-3;0;0;0;0;0;BM;3;0;0;0
54;Div 6;Div 6-4;0;0;0;0;0;CN;4;0;0;0
55;Div 6;Div 6-5;0;0;0;0;0;BI;5;0;0;0
56;Div 6;Div 6-6;0;0;0;0;0;SOS;6;0;0;0
57;Div 6;Div 6-7;0;0;0;0;0;ÖR;7;0;0;0
58;Div 6;Div 6-8;0;0;0;0;0;KU;8;0;0;0
59;Div 6;Div 6-9;0;0;0;0;0;ARK;9;0;0;0
60;Div 6;Div 6-10;0;0;0;0;0;GE;10;0;0;0
