id;AbilityRank;AbilityRankDivision;AverageAbility;Division;DivisionID;Name;SeedingGroup;Tactics;TacticsValue;TotalAbility;Logo;SeedingNumber;NoOfPlayers;FullName
1;1;1;0.04956378699703717;Div 1;Div 1-1;KÄ;A;Neutral;0.410958904109589;0.297382721982223;KÄ.png;1;6;Kämparna
2;2;2;0.04862171968797572;Div 1;Div 1-2;DBL;A;Defensiv;0.1;0.2917303181278543;DBL.png;2;6;Det Bästa Laget
3;7;5;4.4690539586504086;Div 1;Div 1-3;SF;A;Neutral;0.5;26.81432375190245;SF.png;3;6;Stjärnfåglarna
4;13;7;0.04159161761305383;Div 1;Div 1-4;ZB;A;Neutral;0.595238095238095;0.24954970567832296;ZB.png;4;6;Zebrorna
5;19;9;0.04012585764301037;Div 1;Div 1-5;PBV;B;Neutral;0.413793103448276;0.2407551458580622;PBV.png;1;6;Publikens Vänner
6;6;4;4.489513812681398;Div 1;Div 1-6;SL;B;Neutral;0.531645569620253;26.93708287608839;SL.png;2;6;Super Laget
7;23;10;3.855678704654116;Div 1;Div 1-7;FF;B;Defensiv;0.225806451612903;23.134072227924698;FF.png;3;6;Fina Föreningen
8;15;8;0.04105546739218727;Div 1;Div 1-8;SSM;B;Neutral;0.369565217391304;0.2463328043531236;SSM.png;4;6;Sälsmugglarna
9;4;3;4.517665289549259;Div 1;Div 1-9;SFA;B;Neutral;0.591836734693878;27.105991737295554;SFA.png;5;6;Sportfalkarna
10;9;6;4.313581386128483;Div 1;Div 1-10;PF;B;Neutral;0.571428571428571;25.8814883167709;PF.png;6;6;Påfåglarna
11;3;1;0.04550659235304575;Div 2;Div 2-1;ÖD;B;Neutral;0.551282051282051;0.2730395541182745;ÖD.png;7;6;Ödlorna
12;32;10;0.034153125477669584;Div 2;Div 2-2;HÖ;C;Neutral;0.436781609195402;0.2049187528660175;HÖ.png;1;6;Hökarna
13;17;8;4.08413293605397;Div 2;Div 2-3;PA;C;Neutral;0.583333333333333;24.50479761632382;PA.png;2;6;Pantrarna
14;5;2;0.044976517838966834;Div 2;Div 2-4;TG;C;Neutral;0.321428571428571;0.269859107033801;TG.png;3;6;Tigrarna
15;8;3;0.04339600101443276;Div 2;Div 2-5;SFÅ;C;Defensiv;0.196428571428571;0.26037600608659656;SFÅ.png;4;6;Sportfånarna
16;14;6;4.14902092251574;Div 2;Div 2-6;TWL;C;Defensiv;0.235294117647059;24.894125535094442;TWL.png;5;6;The White Lions
17;10;4;0.04281374537589127;Div 2;Div 2-7;VIK;C;Defensiv;0.25;0.2568824722553476;VIK.png;6;6;Vikingarna
18;24;9;3.8438689493143046;Div 2;Div 2-8;LION;C;Neutral;0.5;23.06321369588583;LION.png;7;6;Lev I Ondskans Närvaro
19;16;7;4.099195014865361;Div 2;Div 2-9;SSL;D;Offensiv;0.764705882352941;28.69436510405753;SSL.png;1;7;Snillrika Superlaget
20;12;5;4.174165495258138;Div 2;Div 2-10;LEO;D;Neutral;0.678571428571429;25.04499297154883;LEO.png;2;6;Leopaderna
21;38;9;0.03157954029079058;Div 3;Div 3-1;TBT;D;Neutral;0.439024390243902;0.18947724174474348;TBT.png;3;6;The Black Team
22;33;8;0.032930241839681025;Div 3;Div 3-2;ISF;D;Neutral;0.51685393258427;0.19758145103808616;ISF.png;4;6;Internationella Sportföreningen
23;26;6;0.03648539122184045;Div 3;Div 3-3;MS;D;Neutral;0.533333333333333;0.2189123473310427;MS.png;5;6;Målspottarna
24;20;3;0.03917266810251592;Div 3;Div 3-4;KS;D;Neutral;0.346153846153846;0.23503600861509552;KS.png;6;6;Krypskyttarna
25;18;2;4.067891198402445;Div 3;Div 3-5;SST;D;Neutral;0.666666666666667;24.407347190414672;SST.png;7;6;Sportstjärnorna
