id;AfterPenaltyAway;AfterPenaltyHome;Away;Day;DivisionAway;DivisionHome;DivisionPlaceAway;DivisionPlaceDifference;DivisionPlaceHome;FavouriteStatusAway;FavouriteStatusHome;FocusedEvent;GameID;GameNumber;GoalsAway;GoalsHome;Home;Played;PrestigeCupAway;PrestigeCupHome;PrestigePointsBasic;PrestigePointsDivisionBasic;PrestigePointsFocusedEvent;PrestigePointsRivalryAway;PrestigePointsRivalryHome;PrestigePointsTotalAway;PrestigePointsTotalHome;TournamnetRound;RoutinePoints;SignAway;SignHome;TeamMotivationAway;TeamMotivationFavouriteStatusAway;TeamMotivationFavouriteStatusHome;TeamMotivationHome;TeamMotivationPreviousRoundAway;TeamMotivationPreviousRoundHome;TeamMotivationSituationAway;TeamMotivationSituationHome;TeamRankAway;TeamRankDifference;TeamRankDivisionAway;TeamRankDivisionDifference;TeamRankDivisionHome;TeamRankHome;TeamRivalryAway;TeamRivalryHome;TeamRivalryTotal;TeamTacticsAway;TeamTacticsGameValueAway;TeamTacticsGameValueHome;TeamTacticsHome;TeamTacticsValueAway;TeamTacticsValueHome;TournamentName;TypeOfGame;Week;Winner;QualificationAway;QualificationHome;SchedulingIdentifyerAway;SchedulingIdentifyerHome;Tournament_id;HomeTeam_id;AwayTeam_id
1;;;BI;1;;;3;5;8;Favorite;Underdog;;1;1;;;MÖS;0;;;0.0;-0.05;;0.0;0.0;-0.05;-0.05;1;0;;;1.14;0.92;0.99;1.168125;1.04;0.9425;0.19;0.19;34;26;1;9;10;60;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;6;Group;1;;;;ScheduleDraw;ScheduleDraw;6;51;55
2;;;GE;1;;;5;1;6;Normal;Normal;;2;2;;;GC;0;;;0.0;-0.05;;0.0;0.0;-0.05;-0.05;1;0;;;1.193125;1.0;0.99;1.189375;1.0125;1.0275;0.19;0.19;50;5;5;2;7;55;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;6;Group;1;;;;ScheduleDraw;ScheduleDraw;6;52;60
3;;;CN;1;;;2;7;9;Normal;Normal;;3;3;;;BM;0;;;0.0;-0.05;;0.0;0.0;-0.05;-0.05;1;0;;;1.20625;1.03;0.95;1.1525;0.975;1.0;0.19;0.19;52;6;6;2;8;58;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;6;Group;1;;;;ScheduleDraw;ScheduleDraw;6;53;54
4;;;KU;1;;;7;-3;4;Normal;Normal;;4;4;;;SOS;0;;;0.0;-0.05;;0.0;0.0;-0.05;-0.05;1;0;;;1.17125;0.97;1.04;1.226875;1.015;1.0275;0.19;0.19;46;1;3;1;4;47;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;6;Group;1;;;;ScheduleDraw;ScheduleDraw;6;56;58
5;;;ARK;1;;;1;9;10;Favorite;Underdog;;5;5;;;ÖR;0;;;0.0;-0.05;;0.0;0.0;-0.05;-0.05;1;0;;;1.065625;0.98;1.04;1.23375;0.9625;1.055;0.09;0.19;36;23;2;7;9;59;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;6;Group;1;;;;ScheduleDraw;ScheduleDraw;6;57;59
6;;;NS;1;;;3;5;8;Underdog;Favorite;;6;1;;;TD;0;;;0.0;-0.03;;0.0;0.0;-0.03;-0.03;1;0;;;1.244375;1.0;1.03;1.35875;0.8175;1.185;0.29;0.29;51;-24;7;-6;1;27;0.0;0.0;0.0;Balanced;0.5;0.0166666666666667;Drop back;0.5;0.0166666666666667;5;Group;1;;;;ScheduleDraw;ScheduleDraw;5;41;48
7;;;SVF;1;;;1;9;10;Normal;Normal;;7;2;;;KN;0;;;0.0;-0.03;;0.0;0.0;-0.03;-0.03;1;0;;;1.15375;0.99;1.02;1.32625;0.885;1.085;0.19;0.29;56;-3;10;-2;8;53;0.0;0.0;0.0;Balanced;0.5;0.491071428571428;Balanced;0.5;0.491071428571428;5;Group;1;;;;ScheduleDraw;ScheduleDraw;5;42;45
8;;;ELD;1;;;2;7;9;Underdog;Favorite;;8;3;;;SFI;0;;;0.0;-0.03;;0.0;0.0;-0.03;-0.03;1;0;;;1.290625;1.03;1.0;1.33;0.9125;1.16;0.29;0.29;54;-10;9;-5;4;44;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;5;Group;1;;;;ScheduleDraw;ScheduleDraw;5;43;46
9;;;HH;1;;;6;-1;5;Normal;Normal;;9;4;;;HS;0;;;0.0;-0.03;;0.0;0.0;-0.03;-0.03;1;0;;;1.2775;0.99;0.97;1.26875;0.98;1.005;0.29;0.29;41;-4;3;-1;2;37;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;5;Group;1;;;;ScheduleDraw;ScheduleDraw;5;44;50
10;;;AF;1;;;7;-3;4;Normal;Normal;;10;5;;;COB;0;;;0.0;-0.03;;0.0;0.0;-0.03;-0.03;1;0;;;1.2625;0.96;1.01;1.29125;1.01;0.975;0.29;0.29;49;-4;6;-1;5;45;0.0;0.0;0.0;Balanced;0.5;0.5;Balanced;0.5;0.5;5;Group;1;;;;ScheduleDraw;ScheduleDraw;5;47;49
